endpoint,sample,fold,split
HRD_Score,TCGA-3C-AALI,1,train
HRD_Score,TCGA-3C-AALJ,1,train
HRD_Score,TCGA-5L-AAT0,1,train
HRD_Score,TCGA-A1-A0SB,1,train
HRD_Score,TCGA-A1-A0SD,1,train
HRD_Score,TCGA-A1-A0SE,1,train
HRD_Score,TCGA-A1-A0SG,1,train
HRD_Score,TCGA-A1-A0SI,1,train
HRD_Score,TCGA-A1-A0SJ,1,train
HRD_Score,TCGA-A1-A0SK,1,train
HRD_Score,TCGA-A1-A0SO,1,train
HRD_Score,TCGA-A1-A0SQ,1,train
HRD_Score,TCGA-A2-A04N,1,train
HRD_Score,TCGA-A2-A04P,1,train
HRD_Score,TCGA-A2-A04R,1,train
HRD_Score,TCGA-A2-A04V,1,train
HRD_Score,TCGA-A2-A04W,1,train
HRD_Score,TCGA-A2-A04Y,1,train
HRD_Score,TCGA-A2-A0CP,1,train
HRD_Score,TCGA-A2-A0CR,1,train
HRD_Score,TCGA-A2-A0CS,1,train
HRD_Score,TCGA-A2-A0CT,1,train
HRD_Score,TCGA-A2-A0CU,1,train
HRD_Score,TCGA-A2-A0CW,1,train
HRD_Score,TCGA-A2-A0CX,1,train
HRD_Score,TCGA-A2-A0D0,1,train
HRD_Score,TCGA-A2-A0D3,1,train
HRD_Score,TCGA-A2-A0D4,1,train
HRD_Score,TCGA-A2-A0EM,1,train
HRD_Score,TCGA-A2-A0ES,1,train
HRD_Score,TCGA-A2-A0EU,1,train
HRD_Score,TCGA-A2-A0EV,1,train
HRD_Score,TCGA-A2-A0EW,1,train
HRD_Score,TCGA-A2-A0EX,1,train
HRD_Score,TCGA-A2-A0SU,1,train
HRD_Score,TCGA-A2-A0SV,1,train
HRD_Score,TCGA-A2-A0SW,1,train
HRD_Score,TCGA-A2-A0SX,1,train
HRD_Score,TCGA-A2-A0SY,1,train
HRD_Score,TCGA-A2-A0T0,1,train
HRD_Score,TCGA-A2-A0T1,1,train
HRD_Score,TCGA-A2-A0T2,1,train
HRD_Score,TCGA-A2-A0T3,1,train
HRD_Score,TCGA-A2-A0T4,1,train
HRD_Score,TCGA-A2-A0T5,1,train
HRD_Score,TCGA-A2-A0T6,1,train
HRD_Score,TCGA-A2-A0T7,1,train
HRD_Score,TCGA-A2-A0YD,1,train
HRD_Score,TCGA-A2-A0YG,1,train
HRD_Score,TCGA-A2-A0YH,1,train
HRD_Score,TCGA-A2-A0YK,1,train
HRD_Score,TCGA-A2-A0YL,1,train
HRD_Score,TCGA-A2-A0YT,1,train
HRD_Score,TCGA-A2-A1FX,1,train
HRD_Score,TCGA-A2-A1G0,1,train
HRD_Score,TCGA-A2-A1G1,1,train
HRD_Score,TCGA-A2-A1G4,1,train
HRD_Score,TCGA-A2-A259,1,train
HRD_Score,TCGA-A2-A25A,1,train
HRD_Score,TCGA-A2-A25C,1,train
HRD_Score,TCGA-A2-A25D,1,train
HRD_Score,TCGA-A2-A3KD,1,train
HRD_Score,TCGA-A2-A3XU,1,train
HRD_Score,TCGA-A2-A3Y0,1,train
HRD_Score,TCGA-A2-A4S3,1,train
HRD_Score,TCGA-A7-A0CE,1,train
HRD_Score,TCGA-A7-A0CH,1,train
HRD_Score,TCGA-A7-A0CJ,1,train
HRD_Score,TCGA-A7-A0D9,1,train
HRD_Score,TCGA-A7-A0DA,1,train
HRD_Score,TCGA-A7-A0DB,1,train
HRD_Score,TCGA-A7-A13E,1,train
HRD_Score,TCGA-A7-A13F,1,train
HRD_Score,TCGA-A7-A26H,1,train
HRD_Score,TCGA-A7-A26J,1,train
HRD_Score,TCGA-A7-A56D,1,train
HRD_Score,TCGA-A7-A5ZV,1,train
HRD_Score,TCGA-A7-A5ZW,1,train
HRD_Score,TCGA-A7-A5ZX,1,train
HRD_Score,TCGA-A7-A6VW,1,train
HRD_Score,TCGA-A7-A6VX,1,train
HRD_Score,TCGA-A7-A6VY,1,train
HRD_Score,TCGA-A8-A06P,1,train
HRD_Score,TCGA-A8-A06Q,1,train
HRD_Score,TCGA-A8-A06R,1,train
HRD_Score,TCGA-A8-A06U,1,train
HRD_Score,TCGA-A8-A06Y,1,train
HRD_Score,TCGA-A8-A06Z,1,train
HRD_Score,TCGA-A8-A075,1,train
HRD_Score,TCGA-A8-A076,1,train
HRD_Score,TCGA-A8-A079,1,train
HRD_Score,TCGA-A8-A07B,1,train
HRD_Score,TCGA-A8-A07I,1,train
HRD_Score,TCGA-A8-A07J,1,train
HRD_Score,TCGA-A8-A07L,1,train
HRD_Score,TCGA-A8-A07P,1,train
HRD_Score,TCGA-A8-A07W,1,train
HRD_Score,TCGA-A8-A07Z,1,train
HRD_Score,TCGA-A8-A081,1,train
HRD_Score,TCGA-A8-A082,1,train
HRD_Score,TCGA-A8-A083,1,train
HRD_Score,TCGA-A8-A08B,1,train
HRD_Score,TCGA-A8-A08G,1,train
HRD_Score,TCGA-A8-A08H,1,train
HRD_Score,TCGA-A8-A08L,1,train
HRD_Score,TCGA-A8-A08O,1,train
HRD_Score,TCGA-A8-A08R,1,train
HRD_Score,TCGA-A8-A08T,1,train
HRD_Score,TCGA-A8-A08Z,1,train
HRD_Score,TCGA-A8-A090,1,train
HRD_Score,TCGA-A8-A091,1,train
HRD_Score,TCGA-A8-A092,1,train
HRD_Score,TCGA-A8-A093,1,train
HRD_Score,TCGA-A8-A095,1,train
HRD_Score,TCGA-A8-A096,1,train
HRD_Score,TCGA-A8-A097,1,train
HRD_Score,TCGA-A8-A099,1,train
HRD_Score,TCGA-A8-A09A,1,train
HRD_Score,TCGA-A8-A09C,1,train
HRD_Score,TCGA-A8-A09G,1,train
HRD_Score,TCGA-A8-A09M,1,train
HRD_Score,TCGA-A8-A09N,1,train
HRD_Score,TCGA-A8-A09Q,1,train
HRD_Score,TCGA-A8-A09T,1,train
HRD_Score,TCGA-A8-A09V,1,train
HRD_Score,TCGA-A8-A0A2,1,train
HRD_Score,TCGA-A8-A0A4,1,train
HRD_Score,TCGA-A8-A0A6,1,train
HRD_Score,TCGA-A8-A0A7,1,train
HRD_Score,TCGA-A8-A0AB,1,train
HRD_Score,TCGA-A8-A0AD,1,train
HRD_Score,TCGA-AC-A23C,1,train
HRD_Score,TCGA-AC-A23E,1,train
HRD_Score,TCGA-AC-A23H,1,train
HRD_Score,TCGA-AC-A2B8,1,train
HRD_Score,TCGA-AC-A2FG,1,train
HRD_Score,TCGA-AC-A2QH,1,train
HRD_Score,TCGA-AC-A3OD,1,train
HRD_Score,TCGA-AC-A3QQ,1,train
HRD_Score,TCGA-AC-A3YI,1,train
HRD_Score,TCGA-AC-A4ZE,1,train
HRD_Score,TCGA-AC-A5EH,1,train
HRD_Score,TCGA-AC-A62Y,1,train
HRD_Score,TCGA-AC-A6IV,1,train
HRD_Score,TCGA-AC-A6IW,1,train
HRD_Score,TCGA-AC-A6IX,1,train
HRD_Score,TCGA-AC-A6NO,1,train
HRD_Score,TCGA-AC-A7VB,1,train
HRD_Score,TCGA-AC-A7VC,1,train
HRD_Score,TCGA-AC-A8OP,1,train
HRD_Score,TCGA-AC-A8OQ,1,train
HRD_Score,TCGA-AC-A8OR,1,train
HRD_Score,TCGA-AC-A8OS,1,train
HRD_Score,TCGA-AN-A03Y,1,train
HRD_Score,TCGA-AN-A041,1,train
HRD_Score,TCGA-AN-A046,1,train
HRD_Score,TCGA-AN-A049,1,train
HRD_Score,TCGA-AN-A04C,1,train
HRD_Score,TCGA-AN-A04D,1,train
HRD_Score,TCGA-AN-A0AJ,1,train
HRD_Score,TCGA-AN-A0AL,1,train
HRD_Score,TCGA-AN-A0AR,1,train
HRD_Score,TCGA-AN-A0AS,1,train
HRD_Score,TCGA-AN-A0AT,1,train
HRD_Score,TCGA-AN-A0FJ,1,train
HRD_Score,TCGA-AN-A0FK,1,train
HRD_Score,TCGA-AN-A0FN,1,train
HRD_Score,TCGA-AN-A0FS,1,train
HRD_Score,TCGA-AN-A0FT,1,train
HRD_Score,TCGA-AN-A0FV,1,train
HRD_Score,TCGA-AN-A0FW,1,train
HRD_Score,TCGA-AN-A0FX,1,train
HRD_Score,TCGA-AN-A0FY,1,train
HRD_Score,TCGA-AN-A0FZ,1,train
HRD_Score,TCGA-AN-A0XN,1,train
HRD_Score,TCGA-AN-A0XO,1,train
HRD_Score,TCGA-AN-A0XS,1,train
HRD_Score,TCGA-AN-A0XT,1,train
HRD_Score,TCGA-AN-A0XU,1,train
HRD_Score,TCGA-AN-A0XW,1,train
HRD_Score,TCGA-AO-A03O,1,train
HRD_Score,TCGA-AO-A03T,1,train
HRD_Score,TCGA-AO-A0J2,1,train
HRD_Score,TCGA-AO-A0J3,1,train
HRD_Score,TCGA-AO-A0J4,1,train
HRD_Score,TCGA-AO-A0J7,1,train
HRD_Score,TCGA-AO-A0J8,1,train
HRD_Score,TCGA-AO-A0JA,1,train
HRD_Score,TCGA-AO-A0JB,1,train
HRD_Score,TCGA-AO-A0JE,1,train
HRD_Score,TCGA-AO-A0JG,1,train
HRD_Score,TCGA-AO-A0JI,1,train
HRD_Score,TCGA-AO-A0JJ,1,train
HRD_Score,TCGA-AO-A128,1,train
HRD_Score,TCGA-AO-A12A,1,train
HRD_Score,TCGA-AO-A12D,1,train
HRD_Score,TCGA-AO-A12F,1,train
HRD_Score,TCGA-AO-A12H,1,train
HRD_Score,TCGA-AO-A1KP,1,train
HRD_Score,TCGA-AO-A1KR,1,train
HRD_Score,TCGA-AO-A1KT,1,train
HRD_Score,TCGA-AQ-A04H,1,train
HRD_Score,TCGA-AQ-A04J,1,train
HRD_Score,TCGA-AQ-A1H3,1,train
HRD_Score,TCGA-AR-A0TP,1,train
HRD_Score,TCGA-AR-A0TQ,1,train
HRD_Score,TCGA-AR-A0TR,1,train
HRD_Score,TCGA-AR-A0TS,1,train
HRD_Score,TCGA-AR-A0TT,1,train
HRD_Score,TCGA-AR-A0TW,1,train
HRD_Score,TCGA-AR-A0TX,1,train
HRD_Score,TCGA-AR-A0TY,1,train
HRD_Score,TCGA-AR-A0TZ,1,train
HRD_Score,TCGA-AR-A0U0,1,train
HRD_Score,TCGA-AR-A1AH,1,train
HRD_Score,TCGA-AR-A1AI,1,train
HRD_Score,TCGA-AR-A1AJ,1,train
HRD_Score,TCGA-AR-A1AK,1,train
HRD_Score,TCGA-AR-A1AN,1,train
HRD_Score,TCGA-AR-A1AO,1,train
HRD_Score,TCGA-AR-A1AP,1,train
HRD_Score,TCGA-AR-A1AQ,1,train
HRD_Score,TCGA-AR-A1AR,1,train
HRD_Score,TCGA-AR-A1AU,1,train
HRD_Score,TCGA-AR-A1AX,1,train
HRD_Score,TCGA-AR-A1AY,1,train
HRD_Score,TCGA-AR-A24L,1,train
HRD_Score,TCGA-AR-A24N,1,train
HRD_Score,TCGA-AR-A24O,1,train
HRD_Score,TCGA-AR-A24R,1,train
HRD_Score,TCGA-AR-A24S,1,train
HRD_Score,TCGA-AR-A24U,1,train
HRD_Score,TCGA-AR-A24V,1,train
HRD_Score,TCGA-AR-A24W,1,train
HRD_Score,TCGA-AR-A24X,1,train
HRD_Score,TCGA-AR-A24Z,1,train
HRD_Score,TCGA-AR-A250,1,train
HRD_Score,TCGA-AR-A251,1,train
HRD_Score,TCGA-AR-A254,1,train
HRD_Score,TCGA-AR-A256,1,train
HRD_Score,TCGA-AR-A2LH,1,train
HRD_Score,TCGA-AR-A2LN,1,train
HRD_Score,TCGA-AR-A2LO,1,train
HRD_Score,TCGA-AR-A2LQ,1,train
HRD_Score,TCGA-AR-A5QM,1,train
HRD_Score,TCGA-AR-A5QN,1,train
HRD_Score,TCGA-AR-A5QP,1,train
HRD_Score,TCGA-AR-A5QQ,1,train
HRD_Score,TCGA-B6-A0I2,1,train
HRD_Score,TCGA-B6-A0I5,1,train
HRD_Score,TCGA-B6-A0IB,1,train
HRD_Score,TCGA-B6-A0IC,1,train
HRD_Score,TCGA-B6-A0IE,1,train
HRD_Score,TCGA-B6-A0IH,1,train
HRD_Score,TCGA-B6-A0IJ,1,train
HRD_Score,TCGA-B6-A0IN,1,train
HRD_Score,TCGA-B6-A0RE,1,train
HRD_Score,TCGA-B6-A0RG,1,train
HRD_Score,TCGA-B6-A0RH,1,train
HRD_Score,TCGA-B6-A0RL,1,train
HRD_Score,TCGA-B6-A0RN,1,train
HRD_Score,TCGA-B6-A0RO,1,train
HRD_Score,TCGA-B6-A0RP,1,train
HRD_Score,TCGA-B6-A0RS,1,train
HRD_Score,TCGA-B6-A0RU,1,train
HRD_Score,TCGA-B6-A0RV,1,train
HRD_Score,TCGA-B6-A0WS,1,train
HRD_Score,TCGA-B6-A0WW,1,train
HRD_Score,TCGA-B6-A0WY,1,train
HRD_Score,TCGA-B6-A0WZ,1,train
HRD_Score,TCGA-B6-A0X1,1,train
HRD_Score,TCGA-B6-A0X5,1,train
HRD_Score,TCGA-B6-A1KF,1,train
HRD_Score,TCGA-B6-A1KN,1,train
HRD_Score,TCGA-B6-A2IU,1,train
HRD_Score,TCGA-B6-A401,1,train
HRD_Score,TCGA-B6-A409,1,train
HRD_Score,TCGA-BH-A0AU,1,train
HRD_Score,TCGA-BH-A0AV,1,train
HRD_Score,TCGA-BH-A0AW,1,train
HRD_Score,TCGA-BH-A0AY,1,train
HRD_Score,TCGA-BH-A0AZ,1,train
HRD_Score,TCGA-BH-A0B3,1,train
HRD_Score,TCGA-BH-A0B5,1,train
HRD_Score,TCGA-BH-A0B9,1,train
HRD_Score,TCGA-BH-A0BC,1,train
HRD_Score,TCGA-BH-A0BF,1,train
HRD_Score,TCGA-BH-A0BJ,1,train
HRD_Score,TCGA-BH-A0BM,1,train
HRD_Score,TCGA-BH-A0BO,1,train
HRD_Score,TCGA-BH-A0BP,1,train
HRD_Score,TCGA-BH-A0BR,1,train
HRD_Score,TCGA-BH-A0BT,1,train
HRD_Score,TCGA-BH-A0BZ,1,train
HRD_Score,TCGA-BH-A0C1,1,train
HRD_Score,TCGA-BH-A0C3,1,train
HRD_Score,TCGA-BH-A0C7,1,train
HRD_Score,TCGA-BH-A0DH,1,train
HRD_Score,TCGA-BH-A0DI,1,train
HRD_Score,TCGA-BH-A0DK,1,train
HRD_Score,TCGA-BH-A0DL,1,train
HRD_Score,TCGA-BH-A0DO,1,train
HRD_Score,TCGA-BH-A0DQ,1,train
HRD_Score,TCGA-BH-A0DS,1,train
HRD_Score,TCGA-BH-A0DT,1,train
HRD_Score,TCGA-BH-A0DV,1,train
HRD_Score,TCGA-BH-A0DX,1,train
HRD_Score,TCGA-BH-A0DZ,1,train
HRD_Score,TCGA-BH-A0E0,1,train
HRD_Score,TCGA-BH-A0E1,1,train
HRD_Score,TCGA-BH-A0E2,1,train
HRD_Score,TCGA-BH-A0E7,1,train
HRD_Score,TCGA-BH-A0E9,1,train
HRD_Score,TCGA-BH-A0EA,1,train
HRD_Score,TCGA-BH-A0EB,1,train
HRD_Score,TCGA-BH-A0H7,1,train
HRD_Score,TCGA-BH-A0HA,1,train
HRD_Score,TCGA-BH-A0HB,1,train
HRD_Score,TCGA-BH-A0HI,1,train
HRD_Score,TCGA-BH-A0HK,1,train
HRD_Score,TCGA-BH-A0HO,1,train
HRD_Score,TCGA-BH-A0HP,1,train
HRD_Score,TCGA-BH-A0HU,1,train
HRD_Score,TCGA-BH-A0HW,1,train
HRD_Score,TCGA-BH-A0HX,1,train
HRD_Score,TCGA-BH-A0HY,1,train
HRD_Score,TCGA-BH-A0W3,1,train
HRD_Score,TCGA-BH-A0W4,1,train
HRD_Score,TCGA-BH-A0WA,1,train
HRD_Score,TCGA-BH-A18F,1,train
HRD_Score,TCGA-BH-A18H,1,train
HRD_Score,TCGA-BH-A18I,1,train
HRD_Score,TCGA-BH-A18J,1,train
HRD_Score,TCGA-BH-A18K,1,train
HRD_Score,TCGA-BH-A18L,1,train
HRD_Score,TCGA-BH-A18M,1,train
HRD_Score,TCGA-BH-A18N,1,train
HRD_Score,TCGA-BH-A18P,1,train
HRD_Score,TCGA-BH-A18R,1,train
HRD_Score,TCGA-BH-A18T,1,train
HRD_Score,TCGA-BH-A18U,1,train
HRD_Score,TCGA-BH-A1ET,1,train
HRD_Score,TCGA-BH-A1EU,1,train
HRD_Score,TCGA-BH-A1EV,1,train
HRD_Score,TCGA-BH-A1EW,1,train
HRD_Score,TCGA-BH-A1EY,1,train
HRD_Score,TCGA-BH-A1F0,1,train
HRD_Score,TCGA-BH-A1F2,1,train
HRD_Score,TCGA-BH-A1FE,1,train
HRD_Score,TCGA-BH-A1FG,1,train
HRD_Score,TCGA-BH-A1FJ,1,train
HRD_Score,TCGA-BH-A1FL,1,train
HRD_Score,TCGA-BH-A1FM,1,train
HRD_Score,TCGA-BH-A1FN,1,train
HRD_Score,TCGA-BH-A1FU,1,train
HRD_Score,TCGA-BH-A208,1,train
HRD_Score,TCGA-BH-A209,1,train
HRD_Score,TCGA-BH-A28Q,1,train
HRD_Score,TCGA-BH-A2L8,1,train
HRD_Score,TCGA-BH-A5IZ,1,train
HRD_Score,TCGA-BH-A6R8,1,train
HRD_Score,TCGA-BH-A6R9,1,train
HRD_Score,TCGA-BH-A8FZ,1,train
HRD_Score,TCGA-BH-A8G0,1,train
HRD_Score,TCGA-C8-A12L,1,train
HRD_Score,TCGA-C8-A12N,1,train
HRD_Score,TCGA-C8-A12O,1,train
HRD_Score,TCGA-C8-A12P,1,train
HRD_Score,TCGA-C8-A12U,1,train
