benchmark,endpoint,representation,learner,repeat,fold,metric,score,n_test,kme_config_id,kme_version,landmark_mode,sigma_multiplier,sigma_strategy,modality_strategy,landmark_sampling,kernel_weighting
mc3_main,HRD_Score,burden_only,linear,1,1,spearman,0.459491174490632,155,,,,,,,,
mc3_main,HRD_Score,burden_only,linear,1,2,spearman,0.5278951457940828,155,,,,,,,,
mc3_main,HRD_Score,burden_only,linear,1,3,spearman,0.447460981318601,154,,,,,,,,
mc3_main,HRD_Score,burden_only,linear,1,4,spearman,0.6375179032950975,154,,,,,,,,
mc3_main,HRD_Score,burden_only,linear,1,5,spearman,0.6570850236185519,154,,,,,,,,
mc3_main,HRD_Score,standard_sbs96_dbs78_id83,linear,1,1,spearman,0.513420474973784,155,,,,,,,,
mc3_main,HRD_Score,standard_sbs96_dbs78_id83,linear,1,2,spearman,0.5451514099560298,155,,,,,,,,
mc3_main,HRD_Score,standard_sbs96_dbs78_id83,linear,1,3,spearman,0.403526017084459,154,,,,,,,,
mc3_main,HRD_Score,standard_sbs96_dbs78_id83,linear,1,4,spearman,0.5674693264628814,154,,,,,,,,
mc3_main,HRD_Score,standard_sbs96_dbs78_id83,linear,1,5,spearman,0.5999606242377485,154,,,,,,,,
mc3_main,HRD_Score,one_hot_event_kme,linear,1,1,spearman,0.5518937647613115,155,,,,,,,,
mc3_main,HRD_Score,one_hot_event_kme,linear,1,2,spearman,0.5473821030367325,155,,,,,,,,
mc3_main,HRD_Score,one_hot_event_kme,linear,1,3,spearman,0.4781398275793533,154,,,,,,,,
mc3_main,HRD_Score,one_hot_event_kme,linear,1,4,spearman,0.6015624505179546,154,,,,,,,,
mc3_main,HRD_Score,one_hot_event_kme,linear,1,5,spearman,0.6303788663869232,154,,,,,,,,
mc3_main,HRD_Score,burden_only,xgboost,1,1,spearman,0.6154749942412912,155,,,,,,,,
mc3_main,HRD_Score,burden_only,xgboost,1,2,spearman,0.5862368067493355,155,,,,,,,,
