benchmark,endpoint,task,representation,learner,metric,score,balanced_accuracy,accuracy,macro_f1,n_samples,n_classes,n_features,n_folds,split_strategy,tuning,landmark_mode,n_landmarks,base_sigma,sigma_multiplier,kernel_sigma,delta_vs_standard,auroc,auprc,mae,r2,folds,repeats,oof_aggregate,linear_solver,xgb_tree_method,cache_key,cache_status,oof_prediction_file,fold_metrics_file
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.8167715184443808,0.7596193562736313,0.7642487046632125,0.7390264198044518,772,2,260,5,5-fold StratifiedKFold,optuna,256,256,4.4721360206604,4.0,17.8885440826416,0.0247513741937531,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.817343437231913,0.756831252184412,0.7603626943005182,0.7354278780693386,772,2,132,5,5-fold StratifiedKFold,optuna,128,128,4.4721360206604,4.0,17.8885440826416,0.0253232929812854,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.6846384202332159,0.6508197502621295,0.6748704663212435,0.6384574193175224,772,2,516,5,5-fold StratifiedKFold,optuna,512,512,4.4721360206604,0.25,1.1180340051651,-0.1073817240174117,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.7151288405935247,0.6839910399389953,0.7059585492227979,0.6712015204987776,772,2,260,5,5-fold StratifiedKFold,optuna,256,256,4.4721360206604,0.25,1.1180340051651,-0.0768913036571029,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.8182966352111333,0.7533917961427254,0.7538860103626943,0.7299128679909553,772,2,68,5,5-fold StratifiedKFold,optuna,64,64,4.4721360206604,0.5,2.2360680103302,0.0262764909605056,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.8201235980046389,0.7612000762558384,0.7681347150259067,0.7421668448519383,772,2,68,5,5-fold StratifiedKFold,optuna,64,64,4.4721360206604,2.0,8.9442720413208,0.0281034537540112,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,linear,auroc,0.8171607409525625,0.7559018841546723,0.7590673575129534,0.7342306325515281,772,2,132,5,5-fold StratifiedKFold,optuna,128,128,4.4721360206604,2.0,8.9442720413208,0.0251405967019349,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,xgboost,auroc,0.8653766720681219,0.7854589648269945,0.8069948186528497,0.7775186016869655,772,2,516,5,5-fold StratifiedKFold,optuna,512,512,4.4721360206604,0.25,1.1180340051651,-0.0089997775871382,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,xgboost,auroc,0.8685619419820163,0.8033870301528294,0.8134715025906736,0.7887696470373635,772,2,132,5,5-fold StratifiedKFold,optuna,128,128,4.4721360206604,1.0,4.4721360206604,-0.0058145076732437,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,one_hot_event_kme,xgboost,auroc,0.860793378451371,0.7927985892669908,0.8121761658031088,0.7839592544915207,772,2,516,5,5-fold StratifiedKFold,optuna,512,512,4.4721360206604,4.0,17.8885440826416,-0.013583071203889,,,,,,,,,,,,,
