endpoint,sample,fold,attention_max,attention_entropy,n_events
cancer_type_top20,TCGA-02-2466,1,0.7663503885269165,1.21187162399292,142
cancer_type_top20,TCGA-04-1353,1,0.4646165370941162,1.7573751211166382,29
cancer_type_top20,TCGA-04-1360,1,0.412900447845459,2.0362608432769775,176
cancer_type_top20,TCGA-04-1369,1,0.4223640561103821,1.3933913707733154,126
cancer_type_top20,TCGA-04-1655,1,0.5186883807182312,1.4972224235534668,117
cancer_type_top20,TCGA-05-4249,1,0.08363077044487,2.974588394165039,413
cancer_type_top20,TCGA-05-4397,1,0.08607031404972076,3.0236778259277344,1061
cancer_type_top20,TCGA-05-4398,1,0.047688283026218414,3.467320680618286,981
cancer_type_top20,TCGA-05-4417,1,0.08660545200109482,2.928046703338623,396
cancer_type_top20,TCGA-05-4430,1,0.1139960065484047,2.6622464656829834,367
cancer_type_top20,TCGA-05-4434,1,0.4049151539802551,2.1206791400909424,65
cancer_type_top20,TCGA-05-5715,1,0.14731264114379883,3.5854332447052,159
cancer_type_top20,TCGA-06-0129,1,0.5001893043518066,1.151168942451477,49
cancer_type_top20,TCGA-06-0142,1,0.4908377230167389,1.538967490196228,35
cancer_type_top20,TCGA-06-0155,1,0.8247997164726257,0.830832839012146,94
cancer_type_top20,TCGA-06-0210,1,0.16778816282749176,2.978156566619873,166
cancer_type_top20,TCGA-06-0211,1,0.07159062474966049,3.3845911026000977,159
cancer_type_top20,TCGA-06-0214,1,0.15908099710941315,3.170961856842041,103
cancer_type_top20,TCGA-06-0241,1,0.4022466242313385,1.4288610219955444,77
cancer_type_top20,TCGA-06-0646,1,0.5794653296470642,1.703050136566162,48
cancer_type_top20,TCGA-06-0650,1,0.30522099137306213,1.7453066110610962,45
cancer_type_top20,TCGA-06-0686,1,0.7688796520233154,1.0133603811264038,86
cancer_type_top20,TCGA-06-0745,1,0.1564674973487854,2.4375312328338623,66
cancer_type_top20,TCGA-06-1084,1,0.790738046169281,1.0850262641906738,122
cancer_type_top20,TCGA-06-2561,1,0.19331519305706024,2.2230536937713623,47
cancer_type_top20,TCGA-06-2564,1,0.8473828434944153,0.8320437669754028,81
cancer_type_top20,TCGA-06-2566,1,0.7930960059165955,0.6226553320884705,316
cancer_type_top20,TCGA-06-2567,1,0.8093293905258179,0.9246495962142944,77
cancer_type_top20,TCGA-06-2569,1,0.8020718097686768,0.7158867716789246,42
cancer_type_top20,TCGA-06-5417,1,0.2707767188549042,1.7708828449249268,73
cancer_type_top20,TCGA-06-6388,1,0.31315723061561584,1.9910634756088257,71
cancer_type_top20,TCGA-06-6389,1,0.48550522327423096,1.013736367225647,55
cancer_type_top20,TCGA-06-6694,1,0.5885729193687439,1.509750247001648,122
cancer_type_top20,TCGA-06-6697,1,0.9163529276847839,0.4303966164588928,79
cancer_type_top20,TCGA-06-6698,1,0.924749493598938,0.412936270236969,46
cancer_type_top20,TCGA-06-A5U0,1,0.564703643321991,1.1983345746994019,47
cancer_type_top20,TCGA-09-0364,1,0.5894448757171631,1.1299279928207397,5
cancer_type_top20,TCGA-09-2043,1,0.6258090138435364,0.9780710339546204,148
cancer_type_top20,TCGA-10-0934,1,0.5380462408065796,1.1199523210525513,21
cancer_type_top20,TCGA-10-0935,1,0.7775639891624451,0.9095778465270996,71
cancer_type_top20,TCGA-10-0937,1,0.9870525002479553,0.08429916203022003,5
cancer_type_top20,TCGA-12-0618,1,0.35225316882133484,2.25638484954834,59
cancer_type_top20,TCGA-12-0657,1,0.2518811523914337,2.316242218017578,92
cancer_type_top20,TCGA-12-0827,1,0.5302016735076904,1.0931339263916016,61
cancer_type_top20,TCGA-12-0829,1,0.2385224848985672,2.855196475982666,896
cancer_type_top20,TCGA-12-1092,1,0.5097822546958923,1.7213915586471558,70
cancer_type_top20,TCGA-12-1602,1,0.31207743287086487,2.1691994667053223,65
cancer_type_top20,TCGA-12-3649,1,0.4112507700920105,2.055875301361084,96
cancer_type_top20,TCGA-13-0717,1,0.9507778882980347,0.19621841609477997,2
cancer_type_top20,TCGA-13-0751,1,0.9650059938430786,0.22537998855113983,85
cancer_type_top20,TCGA-13-0755,1,0.6605124473571777,1.321242332458496,151
cancer_type_top20,TCGA-13-0765,1,0.46721982955932617,1.2242507934570312,49
cancer_type_top20,TCGA-13-0800,1,0.5625597834587097,1.3335399627685547,184
cancer_type_top20,TCGA-13-0805,1,0.4412732720375061,1.1842645406723022,37
cancer_type_top20,TCGA-13-0807,1,0.48925766348838806,1.882129430770874,454
cancer_type_top20,TCGA-13-0894,1,0.5221292972564697,1.2213373184204102,150
cancer_type_top20,TCGA-13-0910,1,0.5538557767868042,1.286349892616272,82
cancer_type_top20,TCGA-13-0913,1,0.7300722002983093,0.9142985939979553,54
cancer_type_top20,TCGA-13-0923,1,0.969403088092804,0.19435551762580872,64
cancer_type_top20,TCGA-13-1491,1,0.7353159189224243,0.8326952457427979,72
cancer_type_top20,TCGA-13-1492,1,0.5027421116828918,1.364908218383789,23
cancer_type_top20,TCGA-13-1498,1,0.7679101228713989,0.9575779438018799,192
cancer_type_top20,TCGA-13-1504,1,0.5786730647087097,0.8427687287330627,59
cancer_type_top20,TCGA-13-1507,1,0.5184435248374939,1.4022977352142334,122
cancer_type_top20,TCGA-13-1510,1,0.26393628120422363,2.192643880844116,62
cancer_type_top20,TCGA-13-1511,1,0.812947154045105,0.8696949481964111,32
cancer_type_top20,TCGA-13-1512,1,0.4244443476200104,1.5112806558609009,90
cancer_type_top20,TCGA-13-2061,1,0.3527081608772278,1.6880029439926147,154
cancer_type_top20,TCGA-13-2071,1,0.9178357720375061,0.32994991540908813,80
cancer_type_top20,TCGA-14-0736,1,0.19677229225635529,3.073500156402588,143
cancer_type_top20,TCGA-14-0787,1,0.3583107590675354,2.247223377227783,49
cancer_type_top20,TCGA-14-0812,1,0.44259539246559143,1.587020754814148,101
cancer_type_top20,TCGA-14-1034,1,0.3993368148803711,1.9093211889266968,221
cancer_type_top20,TCGA-14-1043,1,0.48030030727386475,1.235602855682373,31
cancer_type_top20,TCGA-14-1395,1,0.7515437006950378,1.2237567901611328,64
cancer_type_top20,TCGA-14-1450,1,0.5034762620925903,2.0907890796661377,74
cancer_type_top20,TCGA-14-1455,1,0.24949908256530762,2.242234945297241,89
cancer_type_top20,TCGA-14-1823,1,0.2690531015396118,2.0949294567108154,75
cancer_type_top20,TCGA-15-0742,1,0.8724343776702881,0.6337387561798096,87
cancer_type_top20,TCGA-16-0846,1,0.8570210933685303,0.7574143409729004,96
cancer_type_top20,TCGA-16-1045,1,0.673475980758667,1.327996015548706,106
cancer_type_top20,TCGA-18-3415,1,0.4514753818511963,1.4043793678283691,259
cancer_type_top20,TCGA-18-3421,1,0.02398734726011753,4.438358306884766,776
cancer_type_top20,TCGA-19-2619,1,0.37601253390312195,1.818862795829773,80
cancer_type_top20,TCGA-19-5950,1,0.8222751617431641,0.7969496250152588,79
cancer_type_top20,TCGA-19-5956,1,0.14263923466205597,3.3652656078338623,5000
cancer_type_top20,TCGA-19-5958,1,0.42137494683265686,1.5721774101257324,58
cancer_type_top20,TCGA-20-0987,1,0.9791473150253296,0.12598231434822083,50
cancer_type_top20,TCGA-20-1685,1,0.8487033247947693,0.7577674388885498,103
cancer_type_top20,TCGA-21-1075,1,0.3305884897708893,1.9069035053253174,254
cancer_type_top20,TCGA-21-1077,1,0.31146910786628723,1.9927940368652344,307
cancer_type_top20,TCGA-21-5786,1,0.10103661566972733,2.745701313018799,499
cancer_type_top20,TCGA-22-4601,1,0.3620724678039551,1.7830783128738403,246
cancer_type_top20,TCGA-22-5471,1,0.2979123592376709,1.89157235622406,308
cancer_type_top20,TCGA-22-5472,1,0.3059500455856323,1.625474452972412,522
cancer_type_top20,TCGA-22-5479,1,0.09429564327001572,2.927753448486328,682
cancer_type_top20,TCGA-23-1021,1,0.6841767430305481,0.9553541541099548,125
cancer_type_top20,TCGA-23-1118,1,0.960773766040802,0.28790444135665894,135
cancer_type_top20,TCGA-23-1124,1,0.38610175251960754,1.8149895668029785,216
cancer_type_top20,TCGA-23-2072,1,0.9537197351455688,0.2684873044490814,72
cancer_type_top20,TCGA-23-2084,1,0.8642119765281677,0.656191349029541,203
cancer_type_top20,TCGA-23-2647,1,0.4362746775150299,1.3593132495880127,77
cancer_type_top20,TCGA-24-1464,1,0.7908968925476074,0.9172235131263733,86
cancer_type_top20,TCGA-24-1467,1,0.5993378758430481,1.0266653299331665,12
cancer_type_top20,TCGA-24-1469,1,0.44881537556648254,1.6518415212631226,342
cancer_type_top20,TCGA-24-1471,1,0.5871226191520691,1.0025466680526733,62
cancer_type_top20,TCGA-24-1551,1,0.9093890190124512,0.3627365231513977,61
cancer_type_top20,TCGA-24-1564,1,0.8611375689506531,0.7004333138465881,69
cancer_type_top20,TCGA-24-1927,1,0.49361559748649597,1.492955207824707,171
cancer_type_top20,TCGA-24-2024,1,0.818956732749939,0.8969266414642334,146
cancer_type_top20,TCGA-24-2038,1,0.46294131875038147,1.3401107788085938,20
cancer_type_top20,TCGA-24-2281,1,0.7627991437911987,0.9707044959068298,129
cancer_type_top20,TCGA-24-2288,1,0.382804274559021,1.6636862754821777,263
cancer_type_top20,TCGA-25-2399,1,0.8346617817878723,0.7347279787063599,63
cancer_type_top20,TCGA-25-2404,1,0.37895792722702026,1.4852744340896606,75
cancer_type_top20,TCGA-26-1439,1,0.210320383310318,2.523746967315674,62
cancer_type_top20,TCGA-26-1442,1,0.4105979800224304,1.3409978151321411,58
cancer_type_top20,TCGA-26-5132,1,0.6353698372840881,1.2640751600265503,70
cancer_type_top20,TCGA-26-5133,1,0.8796738982200623,0.6134415864944458,55
cancer_type_top20,TCGA-26-A7UX,1,0.6827457547187805,1.0720840692520142,47
cancer_type_top20,TCGA-27-1834,1,0.5461492538452148,1.9252196550369263,75
cancer_type_top20,TCGA-27-2518,1,0.9273435473442078,0.44324159622192383,66
cancer_type_top20,TCGA-28-1749,1,0.3986768126487732,1.8246341943740845,67
cancer_type_top20,TCGA-28-1750,1,0.6481665372848511,1.2206207513809204,128
cancer_type_top20,TCGA-28-2499,1,0.2485881745815277,2.26129150390625,37
cancer_type_top20,TCGA-28-2509,1,0.4649077355861664,1.8847870826721191,82
cancer_type_top20,TCGA-28-5207,1,0.7077783346176147,0.9924813508987427,65
cancer_type_top20,TCGA-28-5211,1,0.07799873501062393,3.844938278198242,579
cancer_type_top20,TCGA-28-5219,1,0.7594208121299744,1.2214609384536743,67
cancer_type_top20,TCGA-29-1688,1,0.6106677055358887,1.0182981491088867,86
cancer_type_top20,TCGA-29-1691,1,0.6485009789466858,1.419748306274414,277
cancer_type_top20,TCGA-29-1699,1,0.9144715070724487,0.4941348135471344,100
cancer_type_top20,TCGA-29-1705,1,0.982503354549408,0.11259206384420395,66
cancer_type_top20,TCGA-29-1710,1,0.9644846320152283,0.23857678472995758,66
cancer_type_top20,TCGA-29-1762,1,0.44801875948905945,1.4858261346817017,104
cancer_type_top20,TCGA-29-1764,1,0.6652670502662659,1.2495867013931274,133
cancer_type_top20,TCGA-29-1778,1,0.9679011106491089,0.21023805439472198,82
cancer_type_top20,TCGA-29-2432,1,0.5023670196533203,1.0800118446350098,129
cancer_type_top20,TCGA-29-2436,1,0.8535400629043579,0.7260321974754333,14
cancer_type_top20,TCGA-2A-A8W1,1,0.6417166590690613,1.3935385942459106,29
cancer_type_top20,TCGA-2A-AAYO,1,0.608626127243042,1.0503172874450684,24
cancer_type_top20,TCGA-2A-AAYU,1,0.44065672159194946,1.455581784248352,31
cancer_type_top20,TCGA-2H-A9GF,1,0.2033001035451889,2.604674816131592,440
cancer_type_top20,TCGA-2H-A9GJ,1,0.5905290842056274,1.2072186470031738,177
cancer_type_top20,TCGA-2W-A8YY,1,0.09569133818149567,3.080996036529541,5000
cancer_type_top20,TCGA-2Y-A9GX,1,0.9356759786605835,0.35118958353996277,79
cancer_type_top20,TCGA-2Y-A9GY,1,0.4139630198478699,1.5951292514801025,112
cancer_type_top20,TCGA-2Y-A9H1,1,0.756157398223877,1.0726377964019775,181
cancer_type_top20,TCGA-2Y-A9H2,1,0.8184618353843689,0.683865487575531,75
cancer_type_top20,TCGA-2Y-A9H9,1,0.6507802605628967,1.4967644214630127,186
cancer_type_top20,TCGA-2Z-A9J2,1,0.5194465517997742,1.1265748739242554,118
cancer_type_top20,TCGA-2Z-A9JE,1,0.4061112701892853,2.1273202896118164,136
